State,District,Facility_Name,Ownership,Total_Deliveries,C_Section_Deliveries,Financial_Year,C_Section_Rate_Pct,Is_Public_Facility
Rajasthan,Alwar,Shayam Ganga,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,UPHC Mugaska,Public,13,0,2020-21,0.0,1
Rajasthan,Alwar,UPHC pahadganj,Public,9,0,2020-21,0.0,1
Rajasthan,Alwar,Kala Kua Satellite Hospital,Public,1170,0,2020-21,0.0,1
Rajasthan,Alwar,Pvt Hospital,Private,11383,1068,2020-21,9.38,0
Rajasthan,Alwar,Rajeev Gandhi Govt Genaral Hospital Alwar,Public,10730,2892,2020-21,26.95,1
Rajasthan,Alwar,Babera,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Bas Dayal,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Bas Shekhawat,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Girudi,Public,16,0,2020-21,0.0,1
Rajasthan,Alwar,Kanpura,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Khohri,Public,6,0,2020-21,0.0,1
Rajasthan,Alwar,Lalpura,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,Loyti,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Nangal Bhavsingh,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Nathusar,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Nayabas,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Shyampura,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Bilali,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Gunta,Public,13,0,2020-21,0.0,1
Rajasthan,Alwar,Hajipur,Public,9,0,2020-21,0.0,1
Rajasthan,Alwar,Hamirpur,Public,12,0,2020-21,0.0,1
Rajasthan,Alwar,Ishra ka bas,Public,4,0,2020-21,0.0,1
Rajasthan,Alwar,Karana,Public,88,0,2020-21,0.0,1
Rajasthan,Alwar,Nimuchana,Public,5,0,2020-21,0.0,1
Rajasthan,Alwar,Bansur,Public,1585,0,2020-21,0.0,1
Rajasthan,Alwar,Harsora,Public,97,0,2020-21,0.0,1
Rajasthan,Alwar,Rampur,Public,38,0,2020-21,0.0,1
Rajasthan,Alwar,Pvt Hospital,Private,827,124,2020-21,14.99,0
Rajasthan,Alwar,bijorawas,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Dahami,Public,3,0,2020-21,0.0,1
Rajasthan,Alwar,dugheda,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,golawas,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Gunti,Public,1,0,2020-21,0.0,1
Rajasthan,Alwar,Kankardopa,Public,2,0,2020-21,0.0,1
Rajasthan,Alwar,Karoda,Public,1,0,2020-21,0.0,1
