State_UT,Est_Pregnant_Women_2025_26,Est_Live_Births_2025_26,Est_Infants_2025_26,Est_PW_2026_27,Est_Live_Births_2026_27,Est_Infants_2026_27,Rural_Population_Millions,Est_Live_Births_per_100k_Pop
Andaman & Nicobar Islands,3911,3505,3481,3761,3328,3308,0.24,1460.42
Andhra Pradesh,810597,750769,738450,794656,736827,725498,35.2,2132.87
Arunachal Pradesh,27897,26167,25710,27990,26278,25847,1.1,2378.82
Assam,717735,666390,648705,697406,653556,637261,30.8,2163.6
Bihar,3418936,3175799,3113460,3389957,3123927,3067932,108.5,2927.0
Chandigarh,15205,13018,12949,15485,13244,13183,0.03,43393.33
Chhattisgarh,738409,673222,650239,733552,676605,654300,21.8,3088.17
Delhi,369400,307211,304038,369323,308917,306202,0.6,51201.83
Goa,17318,14836,14762,16687,14319,14256,0.5,2967.2
Gujarat,1329293,1267249,1245213,1308763,1273083,1252441,37.6,3370.34
Haryana,595819,527927,515185,588431,523734,511555,18.2,2900.7
Himachal Pradesh,103285,90051,89171,100354,87580,86868,6.9,1305.09
Jammu and Kashmir,217916,198873,196604,217881,198847,196799,1.0,19887.3
Jharkhand,1040302,929277,907418,1066222,944594,924954,27.5,3379.19
Karnataka,1065715,987584,976186,1045353,969089,958829,39.8,2481.37
Kerala,390211,352533,351499,351732,315315,314621,17.5,2014.47
Ladakh,3745,3405,3399,3588,3262,3258,0.2,1702.5
Lakshadweep,766,716,713,701,654,652,0.02,3580.0
Madhya Pradesh,2076076,1926742,1861530,2042953,1901573,1840574,58.2,3310.55
Maharashtra,2184246,1953852,1931256,2181555,1957586,1936894,63.8,3062.46
Manipur,47886,35491,35440,45913,34050,34017,2.1,1690.05
Meghalaya,92444,84556,82006,92728,84942,82574,2.6,3252.15
Mizoram,23759,22062,21991,24711,23048,23001,0.6,3677.0
Nagaland,23570,21657,21535,23668,21679,21580,1.5,1443.8
Odisha,726521,627916,611249,705236,600776,585789,36.2,1734.57
Puducherry,13317,11628,11573,12205,10828,10786,0.4,2907.0
Punjab,415519,386921,381327,395428,377741,372674,17.9,2161.57
Rajasthan,1913592,1767580,1719592,1883292,1750546,1704577,56.4,3134.01
Sikkim,7958,7274,7247,7943,7271,7250,0.5,1454.8
Tamil Nadu,941313,859391,850751,904806,831240,823608,37.9,2267.52
Telangana,628166,587167,578078,578083,576646,568369,22.4,2621.28
Dadra and Nagar Haveli and Daman and Diu,14404,13185,13124,14525,13637,13592,0.3,4395.0
Tripura,54763,47496,46913,53330,46250,45741,2.8,1696.29
Uttar Pradesh,7279575,6159841,5943886,7300074,6197803,5986275,172.5,3570.92
Uttarakhand,213166,186792,183480,213873,187640,184495,7.6,2457.79
West Bengal,1505600,1424371,1402662,1478752,1422509,1401980,64.3,2215.2
