Financial_Year,State,District,Total_Facilities,Public_Facilities,Total_Deliveries,Total_C_Section_Deliveries,Public_Facility_Share_Pct,District_C_Section_Rate_Pct
2020-21,Rajasthan,Ajmer,340,337,55806,10192,99.12,18.26
2020-21,Rajasthan,Alwar,506,498,70426,6733,98.42,9.56
2020-21,Rajasthan,Banswara,260,259,45405,2542,99.62,5.6
2020-21,Rajasthan,Baran,88,85,22069,987,96.59,4.47
2020-21,Rajasthan,Barmer,666,657,65133,3318,98.65,5.09
2020-21,Rajasthan,Bharatpur,276,274,57471,6894,99.28,12.0
2020-21,Rajasthan,Bhilwara,316,315,46283,4953,99.68,10.7
2020-21,Rajasthan,Bikaner,349,345,51302,7112,98.85,13.86
2020-21,Rajasthan,Bundi,125,123,17930,1361,98.4,7.59
2020-21,Rajasthan,Chittorgarh,178,172,27519,2596,96.63,9.43
2020-21,Rajasthan,Churu,400,394,34655,2225,98.5,6.42
2020-21,Rajasthan,Dausa,117,112,31031,1182,95.73,3.81
2020-21,Rajasthan,Dholpur,176,175,30877,1451,99.43,4.7
2020-21,Rajasthan,Dungarpur,293,288,35683,1927,98.29,5.4
2020-21,Rajasthan,Ganganagar,332,324,31312,3041,97.59,9.71
2020-21,Rajasthan,Hanumangarh,302,295,34162,3607,97.68,10.56
2020-21,Rajasthan,Jaipur,273,258,118299,31496,94.51,26.62
2020-21,Rajasthan,Jaisalmer,174,172,16835,414,98.85,2.46
2020-21,Rajasthan,Jalore,399,392,48789,2022,98.25,4.14
2020-21,Rajasthan,Jhalawar,78,75,29353,4247,96.15,14.47
2020-21,Rajasthan,Jhunjhunu,167,159,28028,3792,95.21,13.53
2020-21,Rajasthan,Jodhpur,551,545,73588,11326,98.91,15.39
2020-21,Rajasthan,Karauli,162,160,29775,2475,98.77,8.31
2020-21,Rajasthan,Kota,97,95,31959,8671,97.94,27.13
2020-21,Rajasthan,Nagaur,482,472,57197,6876,97.93,12.02
2020-21,Rajasthan,Pali,321,313,39580,4331,97.51,10.94
2020-21,Rajasthan,Pratapgarh,137,135,19227,342,98.54,1.78
2020-21,Rajasthan,Rajsamand,249,248,22990,1529,99.6,6.65
2020-21,Rajasthan,Sawai Madhopur,72,70,31471,3288,97.22,10.45
2020-21,Rajasthan,Sikar,243,237,48535,8640,97.53,17.8
