State_UT,Rural_Doctor_Staffing_Pct,Urban_Doctor_Staffing_Pct,Rural_Urban_Gap_Pct
Puducherry,88.4,98.5,10.1
Kerala,85.0,98.5,13.5
Himachal Pradesh,82.3,98.5,16.2
Tamil Nadu,84.1,98.5,14.4
Goa,81.2,98.5,17.3
Sikkim,76.0,98.5,22.5
Jammu & Kashmir,74.5,98.5,24.0
Uttarakhand,71.0,96.97,25.97
Punjab,70.2,96.49,26.29
Karnataka,68.4,92.15,23.75
Gujarat,66.8,91.02,24.22
Maharashtra,65.2,94.19,28.99
Haryana,64.0,85.29,21.29
Andhra Pradesh,63.5,80.14,16.64
Telangana,62.0,87.34,25.34
Odisha,59.8,76.45,16.65
Rajasthan,58.0,73.56,15.56
West Bengal,56.4,73.04,16.64
Chhattisgarh,54.1,78.36,24.26
Assam,51.2,64.05,12.85
Madhya Pradesh,48.6,66.83,18.23
Jharkhand,45.0,59.21,14.21
Uttar Pradesh,42.1,54.78,12.68
Bihar,40.2,55.46,15.26
Andaman & Nicobar Islands,86.0,98.5,12.5
Chandigarh,84.0,98.5,14.5
Dadra and Nagar Haveli and Daman and Diu,78.0,98.5,20.5
Delhi,80.0,98.5,18.5
Lakshadweep,90.0,98.5,8.5
Ladakh,82.0,98.5,16.5
Arunachal Pradesh,72.0,98.5,26.5
Manipur,70.0,87.66,17.66
Meghalaya,62.0,79.93,17.93
Mizoram,74.0,98.5,24.5
Nagaland,58.0,78.82,20.82
Tripura,71.0,93.44,22.44
