Financial_Year,State,District,Total_Facilities,Public_Facilities,Total_Deliveries,Total_C_Section_Deliveries,Public_Facility_Share_Pct,District_C_Section_Rate_Pct,C_Section_Adequacy_Score,Public_Share_Scaled,C_Sec_Adequacy_Scaled,RHADI_District_Score,Quality_Sub_Index
2020-21,Rajasthan,Ajmer,340,337,55806,10192,99.12,18.26,9.239999999999998,0.9889599799272363,0.6180602006688962,80.35,80.35
2020-21,Rajasthan,Alwar,506,498,70426,6733,98.42,9.56,12.06,0.9801781457784468,0.8066889632107024,89.34,89.34
2020-21,Rajasthan,Banswara,260,259,45405,2542,99.62,5.6,8.1,0.995232718604943,0.5418060200668896,76.85,76.85
2020-21,Rajasthan,Baran,88,85,22069,987,96.59,4.47,6.969999999999999,0.9572199222180404,0.46622073578595313,71.17,71.17
2020-21,Rajasthan,Barmer,666,657,65133,3318,98.65,5.09,7.59,0.983063605570192,0.5076923076923077,74.54,74.54
2020-21,Rajasthan,Bharatpur,276,274,57471,6894,99.28,12.0,14.5,0.9909672563041024,0.9698996655518395,98.04,98.04
2020-21,Rajasthan,Bhilwara,316,315,46283,4953,99.68,10.7,13.2,0.9959854472462678,0.882943143812709,93.95,93.95
2020-21,Rajasthan,Bikaner,349,345,51302,7112,98.85,13.86,13.64,0.9855727010412746,0.9123745819397994,94.9,94.9
2020-21,Rajasthan,Bundi,125,123,17930,1361,98.4,7.59,10.09,0.9799272362313387,0.6749163879598662,82.74,82.74
2020-21,Rajasthan,Chittorgarh,178,172,27519,2596,96.63,9.43,11.93,0.9577217413122568,0.7979933110367893,87.79,87.79
2020-21,Rajasthan,Churu,400,394,34655,2225,98.5,6.42,8.92,0.9811817839668799,0.5966555183946488,78.89,78.89
2020-21,Rajasthan,Dausa,117,112,31031,1182,95.73,3.81,6.3100000000000005,0.9464308116923847,0.4220735785953178,68.43,68.43
2020-21,Rajasthan,Dholpur,176,175,30877,1451,99.43,4.7,7.2,0.9928490779074145,0.4816053511705686,73.72,73.72
2020-21,Rajasthan,Dungarpur,293,288,35683,1927,98.29,5.4,7.9,0.9785472337222431,0.528428093645485,75.35,75.35
2020-21,Rajasthan,Ganganagar,332,324,31312,3041,97.59,9.71,12.21,0.9697653995734539,0.816722408026756,89.32,89.32
2020-21,Rajasthan,Hanumangarh,302,295,34162,3607,97.68,10.56,13.06,0.970894492535441,0.8735785953177259,92.22,92.22
2020-21,Rajasthan,Jaipur,273,258,118299,31496,94.51,26.62,0.879999999999999,0.9311253293187804,0.05886287625418054,49.5,49.5
2020-21,Rajasthan,Jaisalmer,174,172,16835,414,98.85,2.46,4.960000000000001,0.9855727010412746,0.3317725752508362,65.87,65.87
2020-21,Rajasthan,Jalore,399,392,48789,2022,98.25,4.14,6.640000000000001,0.9780454146280266,0.4441471571906355,71.11,71.11
2020-21,Rajasthan,Jhalawar,78,75,29353,4247,96.15,14.47,13.03,0.9516999121816586,0.8715719063545151,91.16,91.16
2020-21,Rajasthan,Jhunjhunu,167,159,28028,3792,95.21,13.53,13.97,0.9399071634675696,0.9344481605351171,93.72,93.72
2020-21,Rajasthan,Jodhpur,551,545,73588,11326,98.91,15.39,12.11,0.9863254296825994,0.8100334448160535,89.82,89.82
2020-21,Rajasthan,Karauli,162,160,29775,2475,98.77,8.31,10.81,0.9845690628528413,0.7230769230769232,85.38,85.38
2020-21,Rajasthan,Kota,97,95,31959,8671,97.94,27.13,0.370000000000001,0.9741563166478484,0.02474916387959873,49.95,49.95
2020-21,Rajasthan,Nagaur,482,472,57197,6876,97.93,12.02,14.52,0.9740308618742944,0.97123745819398,97.26,97.26
2020-21,Rajasthan,Pali,321,313,39580,4331,97.51,10.94,13.44,0.9687617613850206,0.8989966555183947,93.39,93.39
2020-21,Rajasthan,Pratapgarh,137,135,19227,342,98.54,1.78,4.279999999999999,0.9816836030610964,0.2862876254180602,63.4,63.4
2020-21,Rajasthan,Rajsamand,249,248,22990,1529,99.6,6.65,9.15,0.9949818090578346,0.6120401337792643,80.35,80.35
2020-21,Rajasthan,Sawai Madhopur,72,70,31471,3288,97.22,10.45,12.95,0.9651235729519508,0.8662207357859532,91.57,91.57
2020-21,Rajasthan,Sikar,243,237,48535,8640,97.53,17.8,9.7,0.969012670932129,0.6488294314381271,80.89,80.89
2020-21,Rajasthan,Sirohi,127,122,25449,1899,96.06,7.46,9.96,0.9505708192196713,0.6662207357859533,80.84,80.84
2020-21,Rajasthan,Tonk,170,166,25779,2052,97.65,7.96,10.46,0.9705181282147787,0.699665551839465,83.51,83.51
2020-21,Rajasthan,Udaipur,503,497,64474,5839,98.81,9.06,11.56,0.9850708819470582,0.7732441471571907,87.92,87.92
2021-22,Rajasthan,Ajmer,322,319,54896,10980,99.07,20.0,7.5,0.9883327060594654,0.5016722408026756,74.5,74.5
2021-22,Rajasthan,Alwar,460,451,63085,6587,98.04,10.44,12.94,0.9754108643833896,0.8655518394648829,92.05,92.05
2021-22,Rajasthan,Banswara,217,214,42544,2303,98.62,5.41,7.91,0.9826872412495296,0.5290969899665552,75.59,75.59
2021-22,Rajasthan,Baran,77,73,21666,1828,94.81,8.44,10.94,0.9348889725254046,0.7317725752508362,83.33,83.33
2021-22,Rajasthan,Barmer,611,602,62428,2781,98.53,4.45,6.949999999999999,0.9815581482875424,0.4648829431438127,72.32,72.32
2021-22,Rajasthan,Bharatpur,273,269,55227,6933,98.53,12.55,14.95,0.9815581482875424,1.0,99.08,99.08
2021-22,Rajasthan,Bhilwara,260,259,43120,5427,99.62,12.59,14.91,0.995232718604943,0.9973244147157191,99.63,99.63
2021-22,Rajasthan,Bikaner,309,306,50109,7928,99.03,15.82,11.68,0.987830886965249,0.7812709030100334,88.46,88.46
2021-22,Rajasthan,Bundi,114,112,17213,1246,98.25,7.24,9.74,0.9780454146280266,0.6515050167224081,81.48,81.48
2021-22,Rajasthan,Chittorgarh,194,187,26187,2515,96.39,9.6,12.1,0.9547108267469575,0.8093645484949833,88.2,88.2
2021-22,Rajasthan,Churu,389,382,33582,2175,98.2,6.48,8.98,0.9774181407602558,0.6006688963210703,78.9,78.9
2021-22,Rajasthan,Dausa,109,103,30475,1397,94.5,4.58,7.08,0.9309998745452265,0.4735785953177258,70.23,70.23
2021-22,Rajasthan,Dholpur,164,163,29689,1346,99.39,4.53,7.03,0.9923472588131976,0.4702341137123746,73.13,73.13
2021-22,Rajasthan,Dungarpur,278,272,29394,1814,97.84,6.17,8.67,0.9729017689123072,0.579933110367893,77.64,77.64
2021-22,Rajasthan,Ganganagar,307,298,31904,4183,97.07,13.11,14.39,0.9632417513486388,0.962541806020067,96.29,96.29
2021-22,Rajasthan,Hanumangarh,313,307,32254,2897,98.08,8.98,11.48,0.9759126834776062,0.7678929765886289,87.19,87.19
2021-22,Rajasthan,Jaipur,231,216,114914,34206,93.51,29.77,0.0,0.9185798519633671,0.0,45.93,45.93
2021-22,Rajasthan,Jaisalmer,155,151,15698,361,97.42,2.3,4.800000000000001,0.9676326684230333,0.32107023411371244,64.44,64.44
2021-22,Rajasthan,Jalore,360,352,45337,3477,97.78,7.67,10.17,0.9721490402709824,0.6802675585284281,82.62,82.62
2021-22,Rajasthan,Jhalawar,75,72,28725,5073,96.0,17.66,9.84,0.9498180905783465,0.6581939799331104,80.4,80.4
2021-22,Rajasthan,Jhunjhunu,168,160,27305,4057,95.24,14.86,12.64,0.9402835277882321,0.845484949832776,89.29,89.29
2021-22,Rajasthan,Jodhpur,475,467,71342,12848,98.32,18.01,9.489999999999998,0.9789235980429054,0.6347826086956521,80.69,80.69
2021-22,Rajasthan,Karauli,98,95,29571,2954,96.94,9.99,12.49,0.9616108392924351,0.8354515050167225,89.85,89.85
2021-22,Rajasthan,Kota,95,91,32963,9180,95.79,27.85,0.0,0.9471835403337096,0.0,47.36,47.36
2021-22,Rajasthan,Nagaur,447,436,53039,6214,97.54,11.72,14.22,0.969138125705683,0.951170568561873,96.02,96.02
2021-22,Rajasthan,Pali,296,290,36574,4847,97.97,13.25,14.25,0.9745326809685109,0.9531772575250836,96.39,96.39
2021-22,Rajasthan,Pratapgarh,124,121,17738,554,97.58,3.12,5.620000000000001,0.9696399447998995,0.37591973244147164,67.28,67.28
2021-22,Rajasthan,Rajsamand,179,175,19170,1091,97.77,5.69,8.190000000000001,0.972023585497428,0.5478260869565218,75.99,75.99
2021-22,Rajasthan,Sawai Madhopur,64,62,30648,3311,96.88,10.8,13.3,0.9608581106511103,0.8896321070234114,92.52,92.52
2021-22,Rajasthan,Sikar,216,210,43959,9938,97.22,22.61,4.890000000000001,0.9651235729519508,0.3270903010033445,64.61,64.61
2021-22,Rajasthan,Sirohi,85,81,23843,2104,95.29,8.82,11.32,0.9409108016560029,0.7571906354515051,84.91,84.91
2021-22,Rajasthan,Tonk,170,165,24934,2365,97.06,9.49,11.99,0.9631162965750847,0.8020066889632107,88.26,88.26
2021-22,Rajasthan,Udaipur,462,456,54972,6364,98.7,11.58,14.08,0.9836908794379625,0.9418060200668896,96.27,96.27
2022-23,Rajasthan,Ajmer,331,327,59414,13019,98.79,21.91,5.59,0.9848199723999497,0.3739130434782609,67.94,67.94
2022-23,Rajasthan,Alwar,303,294,64995,9169,97.03,14.11,13.39,0.9627399322544223,0.8956521739130435,92.92,92.92
2022-23,Rajasthan,Banswara,193,190,45873,2667,98.45,5.81,8.309999999999999,0.9805545100991091,0.5558528428093645,76.82,76.82
2022-23,Rajasthan,Baran,77,74,22793,2130,96.1,9.34,11.84,0.9510726383138878,0.7919732441471572,87.15,87.15
2022-23,Rajasthan,Barmer,504,496,62837,3912,98.41,6.23,8.73,0.9800526910048927,0.5839464882943144,78.2,78.2
2022-23,Rajasthan,Bharatpur,203,199,53315,6494,98.03,12.18,14.68,0.9752854096098357,0.9819397993311038,97.86,97.86
2022-23,Rajasthan,Bhilwara,214,213,45022,6831,99.53,15.17,12.33,0.9941036256429557,0.8247491638795987,90.94,90.94
2022-23,Rajasthan,Bikaner,304,301,50865,8441,99.01,16.59,10.91,0.9875799774181406,0.7297658862876255,85.87,85.87
2022-23,Rajasthan,Bundi,117,115,17517,1829,98.29,10.44,12.94,0.9785472337222431,0.8655518394648829,92.2,92.2
2022-23,Rajasthan,Chittorgarh,175,168,27024,3946,96.0,14.6,12.9,0.9498180905783465,0.8628762541806021,90.63,90.63
2022-23,Rajasthan,Churu,307,300,32773,2955,97.72,9.02,11.52,0.9713963116296574,0.7705685618729097,87.1,87.1
2022-23,Rajasthan,Dausa,83,77,30720,1041,92.77,3.39,5.890000000000001,0.909296198720361,0.39397993311036794,65.16,65.16
2022-23,Rajasthan,Dholpur,137,136,28974,2356,99.27,8.13,10.63,0.990841801530548,0.7110367892976589,85.09,85.09
2022-23,Rajasthan,Dungarpur,247,241,34307,2463,97.57,7.18,9.68,0.9695144900263454,0.6474916387959866,80.85,80.85
2022-23,Rajasthan,Ganganagar,251,242,32320,6735,96.41,20.84,6.66,0.954961736294066,0.4454849498327759,70.02,70.02
2022-23,Rajasthan,Hanumangarh,300,295,27771,4773,98.33,17.19,10.31,0.9790490528164595,0.6896321070234115,83.43,83.43
2022-23,Rajasthan,Jaipur,181,166,127709,41306,91.71,32.34,0.0,0.8959979927236229,0.0,44.8,44.8
2022-23,Rajasthan,Jaisalmer,150,149,16040,739,99.33,4.61,7.11,0.9915945301718728,0.4755852842809365,73.36,73.36
2022-23,Rajasthan,Jalore,383,375,45565,4738,97.91,10.4,12.9,0.9737799523271861,0.8628762541806021,91.83,91.83
2022-23,Rajasthan,Jhalawar,54,51,30433,5473,94.44,17.98,9.52,0.9302471459039017,0.6367892976588628,78.35,78.35
2022-23,Rajasthan,Jhunjhunu,155,147,28069,4806,94.84,17.12,10.38,0.935265336846067,0.6943143812709031,81.48,81.48
2022-23,Rajasthan,Jodhpur,229,221,72744,16492,96.51,22.67,4.829999999999998,0.9562162840296072,0.323076923076923,63.96,63.96
2022-23,Rajasthan,Karauli,84,81,26777,2888,96.43,10.79,13.29,0.9552126458411744,0.8889632107023411,92.21,92.21
2022-23,Rajasthan,Kota,74,70,37820,14791,94.59,39.11,0.0,0.9321289675072137,0.0,46.61,46.61
2022-23,Rajasthan,Nagaur,401,391,54075,8434,97.51,15.6,11.9,0.9687617613850206,0.7959866220735786,88.24,88.24
2022-23,Rajasthan,Pali,245,239,38524,7184,97.55,18.65,8.850000000000001,0.969263580479237,0.5919732441471574,78.06,78.06
2022-23,Rajasthan,Pratapgarh,94,92,19902,661,97.87,3.32,5.82,0.9732781332329695,0.3892976588628763,68.13,68.13
2022-23,Rajasthan,Rajsamand,177,172,21833,1987,97.18,9.1,11.6,0.9646217538577344,0.7759197324414716,87.03,87.03
