State_UT,Public_Facility_Share_Pct,C_Section_Rate_Pct,C_Section_Adequacy_Score,PHCs_per_100k_Rural_Pop,Doctor_Staffing_Adequacy_Pct,Public_Share_Scaled,C_Sec_Adequacy_Scaled,PHC_Density_Scaled,Staffing_Adequacy_Scaled,RHADI_State_Score,Accessibility_Sub_Index,Quality_Sub_Index,Rural_Population_Millions
Puducherry,96.2,14.1,13.4,16.5,88.4,0.9195402298850576,0.8488372093023256,0.9013157894736842,0.9678714859437753,90.94,93.46,88.42,0.4
Kerala,72.4,13.8,13.7,14.2,85.0,0.23563218390804608,0.8837209302325582,0.7499999999999999,0.8995983935742972,69.23,82.48,55.97,17.5
Himachal Pradesh,92.1,11.5,14.0,12.8,82.3,0.8017241379310343,0.9186046511627908,0.6578947368421053,0.8453815261044176,80.59,75.16,86.02,6.9
Tamil Nadu,78.5,14.8,12.7,11.2,84.1,0.410919540229885,0.7674418604651163,0.5526315789473684,0.8815261044176705,65.32,71.71,58.92,37.9
Goa,88.0,12.0,14.5,10.5,81.2,0.6839080459770115,0.9767441860465117,0.5065789473684211,0.8232931726907631,74.76,66.49,83.03,0.5
Sikkim,94.0,10.8,13.3,13.5,76.0,0.8563218390804598,0.8372093023255816,0.7039473684210527,0.7188755020080321,77.91,71.14,84.68,0.5
Jammu & Kashmir,89.2,15.2,12.3,9.8,74.5,0.7183908045977012,0.7209302325581397,0.4605263157894738,0.6887550200803213,64.72,57.46,71.97,10.0
Uttarakhand,84.6,11.2,13.7,8.9,71.0,0.586206896551724,0.8837209302325582,0.40131578947368424,0.6184738955823293,62.24,50.99,73.5,7.6
Punjab,64.2,16.5,11.0,8.1,70.2,0.0,0.5697674418604651,0.3486842105263158,0.6024096385542169,38.02,47.55,28.49,17.9
Karnataka,74.8,15.8,11.7,7.6,68.4,0.30459770114942514,0.6511627906976744,0.3157894736842105,0.5662650602409639,45.94,44.1,47.79,39.8
Gujarat,71.2,16.2,11.3,7.2,66.8,0.20114942528735633,0.6046511627906979,0.2894736842105263,0.5341365461847388,40.74,41.18,40.29,37.6
Maharashtra,68.5,17.1,10.4,6.8,65.2,0.12356321839080453,0.5000000000000001,0.2631578947368421,0.5020080321285141,34.72,38.26,31.18,63.8
Haryana,69.8,15.9,11.6,6.5,64.0,0.16091954022988492,0.6395348837209303,0.24342105263157898,0.47791164658634533,38.05,36.07,40.02,18.2
Andhra Pradesh,70.1,18.2,9.3,6.4,63.5,0.16954022988505724,0.3720930232558141,0.23684210526315794,0.4678714859437751,31.16,35.24,27.08,35.2
Telangana,66.8,19.5,8.0,6.1,62.0,0.07471264367816076,0.2209302325581396,0.21710526315789475,0.4377510040160642,23.76,32.74,14.78,22.4
Odisha,86.4,9.2,11.7,6.9,59.8,0.6379310344827588,0.6511627906976744,0.2697368421052632,0.3935742971887549,48.81,33.17,64.45,36.2
Rajasthan,78.4,8.4,10.9,6.1,58.0,0.40804597701149437,0.558139534883721,0.21710526315789475,0.35742971887550196,38.52,28.73,48.31,56.4
West Bengal,81.2,21.4,6.1,5.8,56.4,0.4885057471264368,0.0,0.19736842105263158,0.32530120481927705,25.28,26.13,24.43,64.3
Chhattisgarh,88.5,7.8,10.3,6.2,54.1,0.6982758620689655,0.48837209302325596,0.22368421052631582,0.2791164658634538,42.24,25.14,59.33,21.8
Assam,89.1,7.1,9.6,5.4,51.2,0.7155172413793102,0.4069767441860465,0.1710526315789474,0.22088353413654618,37.86,19.6,56.12,30.8
Madhya Pradesh,84.2,6.8,9.3,4.9,48.6,0.574712643678161,0.3720930232558141,0.13815789473684215,0.1686746987951807,31.34,15.34,47.34,58.2
Jharkhand,87.0,5.9,8.4,4.2,45.0,0.6551724137931034,0.26744186046511637,0.09210526315789476,0.09638554216867465,27.78,9.42,46.13,27.5
Uttar Pradesh,82.5,5.2,7.7,3.6,42.1,0.5258620689655172,0.18604651162790706,0.05263157894736844,0.03815261044176704,20.07,4.54,35.6,172.5
Bihar,85.0,4.5,7.0,2.8,40.2,0.5977011494252873,0.10465116279069772,0.0,0.0,17.56,0.0,35.12,108.5
Andaman & Nicobar Islands,98.0,13.0,14.5,15.0,86.0,0.9712643678160919,0.9767441860465117,0.8026315789473684,0.9196787148594378,91.76,86.12,97.4,0.24
Chandigarh,90.0,14.5,13.0,11.0,84.0,0.7413793103448275,0.8023255813953489,0.5394736842105263,0.8795180722891566,74.07,70.95,77.19,0.03
Dadra and Nagar Haveli and Daman and Diu,92.0,12.8,14.7,10.0,78.0,0.7988505747126436,1.0,0.4736842105263158,0.7590361445783133,75.79,61.64,89.94,0.3
Delhi,65.0,16.0,11.5,8.0,80.0,0.022988505747126357,0.6279069767441862,0.34210526315789475,0.7991967871485943,44.8,57.07,32.54,0.6
Lakshadweep,99.0,12.0,14.5,18.0,90.0,1.0,0.9767441860465117,1.0,1.0,99.42,100.0,98.84,0.02
