State,District,Facility_Name,Total_Deliveries,C_Section_Deliveries,Financial_Year,C_Section_Rate_Pct,Is_Public_Facility,Ownership_Private,Ownership_Public
Rajasthan,Alwar,Shayam Ganga,4,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,UPHC Mugaska,13,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,UPHC pahadganj,9,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Kala Kua Satellite Hospital,1170,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Pvt Hospital,11383,1068,2020-21,9.38,0,1,0
Rajasthan,Alwar,Rajeev Gandhi Govt Genaral Hospital Alwar,10730,2892,2020-21,26.95,1,0,1
Rajasthan,Alwar,Babera,2,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Bas Dayal,2,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Bas Shekhawat,2,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Girudi,16,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Kanpura,5,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Khohri,6,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Lalpura,3,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Loyti,4,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Nangal Bhavsingh,1,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Nathusar,4,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Nayabas,2,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Shyampura,1,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Bilali,1,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Gunta,13,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Hajipur,9,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Hamirpur,12,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Ishra ka bas,4,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Karana,88,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Nimuchana,5,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Bansur,1585,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Harsora,97,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Rampur,38,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Pvt Hospital,827,124,2020-21,14.99,0,1,0
Rajasthan,Alwar,bijorawas,1,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Dahami,3,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,dugheda,1,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,golawas,1,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Gunti,1,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Kankardopa,2,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,Karoda,1,0,2020-21,0.0,1,0,1
Rajasthan,Alwar,mohammadpur,1,0,2020-21,0.0,1,0,1
